X,Y,Z,Porcentaje de batería,Batería baja
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,0.0,0.0,SI
0.0,-1.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,0.0,0.0,0.0,SI
0.0,-1.0,-1.0,0.0,SI
0.0,0.0,0.0,0.0,SI
